machine, 0.0.1
marisa-trie, 1.1.1
markdown-it-py, 2.2.0
matlab, 0.1
matplotlib, 3.7.2
matplotlib-inline, 0.1.6
matplotlib-venn, 0.11.10
mccabe, 0.7.0
mcpi, 1.2.1
mdit-py-plugins, 0.3.0
mdurl, 0.1.0
mendeleev, 0.16.0
miniful, 0.0.6
mistune, 0.8.4
ml-dtypes, 0.3.2
more-itertools, 8.12.0
moviepy, 1.0.3
mpmath, 1.3.0
msgpack, 1.0.3
multidict, 6.0.2
multipledispatch, 0.6.0
multiprocess, 0.70.14
multitasking, 0.0.11
munkres, 1.1.4
murmurhash, 1.0.10
music21, 9.1.0
mutagen, 1.47.0
mygene, 3.2.2
mypy-extensions, 1.0.0
namex, 0.0.8
nbclassic, 0.5.5
nbclient, 0.5.13
nbconvert, 6.5.4
nbformat, 5.9.2
nest-asyncio, 1.5.6
netCDF4, 1.6.5
networkx, 3.1
nltk, 3.8.1
notebook, 6.5.4
notebook-shim, 0.2.2
num2words, 0.5.13
numba, 0.57.1
numexpr, 2.8.4
numpy, 1.24.4
numpy-financial, 1.0.0
numpydoc, 1.5.0
oauthlib, 3.2.2
openai, 0.28.1
opencv-python, 4.9.0.80
openpyxl, 3.0.10
opt-einsum, 3.3.0
optree, 0.11.0
outcome, 1.3.0.post0
packaging, 23.1
pandas, 1.5.3
pandas-datareader, 0.10.0
pandocfilters, 1.5.0
panel, 1.2.3
param, 1.13.0
paramiko, 3.4.0
parsel, 1.6.0
parso, 0.8.3
partd, 1.4.0
pathspec, 0.10.3
patsy, 0.5.3
peewee, 3.17.3
pep8, 1.7.1
pexpect, 4.8.0
pickleshare, 0.7.5
pip, 23.2.1
platformdirs, 3.10.0
playwright, 1.43.0
plotly, 5.9.0
pluggy, 1.0.0
ply, 3.11
polars, 0.20.23
pooch, 1.8.1
poyo, 0.5.0
preshed, 3.0.9
proglog, 0.1.10
prometheus-client, 0.14.1
prompt-toolkit, 3.0.36protobuf, 4.25.3
psutil, 5.9.0
psycopg2, 2.9.9
ptyprocess, 0.7.0
pure-eval, 0.2.2
py4j, 0.10.9.7
pyFUME, 0.3.4
pyOpenSSL, 23.2.0
py-cpuinfo, 8.0.0
pyarrow, 11.0.0
pyasn1, 0.4.8
pyasn1-modules, 0.2.8
pycodestyle, 2.10.0
pycparser, 2.21
pycrypto, 2.6.1
pycryptodomex, 3.20.0
pyct, 0.5.0
pycurl, 7.45.2
pydantic, 2.7.1
pydantic-core, 2.18.2
pydeck, 0.9.0
pydocstyle, 6.3.0
pydub, 0.25.1
pyee, 11.1.0
pyerfa, 2.0.0
pyfiglet, 0.8.post1
pyflakes, 3.0.1
pygame, 2.5.2
pylint, 2.16.2
pylint-venv, 2.3.0
pyls-spyder, 0.4.0
pymongo, 4.7.1
pyodbc, 4.0.34
pyparsing, 3.0.9
pypdf, 4.2.0
pypdf2, 3.0.1
pyperclip, 1.8.2
pypng, 0.20220715.0
pyproj, 3.6.1
pyrsistent, 0.18.0
pyspark, 3.5.1
pytelegrambotapi, 4.17.0
pytesseract, 0.3.10
pytest, 7.4.0
python3-xlib, 0.15
python-dateutil, 2.8.2
python-docx, 1.1.2
python-dotenv, 1.0.1
python-json-logger, 2.0.7
python-lsp-black, 1.2.1
python-lsp-jsonrpc, 1.0.0
python-lsp-server, 1.7.2
python-pptx, 0.6.21
python-slugify, 5.0.2
python-snappy, 0.6.1
pytoolconfig, 1.2.5
pyttsx3, 2.90
pytweening, 1.2.0
pytz, 2023.3.post1
pyviz-comms, 2.3.0
pyxdg, 0.27
pyzmq, 23.2.0
qrcode, 7.4.2
qstylizer, 0.2.2
qtconsole, 5.4.2
queuelib, 1.5.0
rdkit, 2023.9.6
regex, 2022.7.9
repath, 0.9.0
requests, 2.31.0
requests-file, 1.5.1
requests-oauthlib, 2.0.0
responses, 0.13.3
rfc3339-validator, 0.1.4
rfc3986, 1.5.0
rfc3986-validator, 0.1.1
rich, 13.7.1
rope, 1.7.0
rsa, 4.9
s3fs, 2023.4.0
s3transfer, 0.10.1
safetensors, 0.3.2
scikit-image, 0.20.0
scikit-learn, 1.3.0
scipy, 1.10.1
seaborn, 0.12.2
selenium, 4.20.0
serial, 0.0.97
service-identity, 18.1.0
setuptools, 68.0.0
shapely, 2.0.4
shellescape, 3.8.1
shiboken2, 5.13.2
simpful, 2.12.0
sip, 6.6.2
six, 1.16.0
smart-open, 5.2.1
smmap, 5.0.1
sniffio, 1.3.1
snowballstemmer, 2.2.0
sortedcontainers, 2.4.0
soundfile, 0.12.1
soupsieve, 2.4
soxr, 0.3.7
spacy, 3.7.4
spacy-legacy, 3.0.12
